video_name,hypothesis,experiment_id,guidance_scale,num_inference_steps,mse_mean,mse_std,lpips_mean,lpips_std,flow_mean,flow_variance
birds_flying,baseline,birds_flying_baseline,7.5,25,0.02192168552428484,0.005353118355007436,0.37664673924446107,0.04741322806621158,4.393365383148193,0.3641391694545746
birds_flying,recommended,birds_flying_recommended,5.0,35,0.012385032357027132,0.004080652762503343,0.34635120232899985,0.05225085641931295,3.8800904750823975,0.3013279139995575
birds_flying,cfg_only,birds_flying_low_cfg_only,5.0,25,0.015835848512748878,0.004688996942096268,0.3842481335004171,0.060737037007836774,4.35027551651001,0.37462472915649414
birds_flying,steps_only,birds_flying_more_steps_only,7.5,35,0.02298527111609777,0.006188796565226695,0.3853032986323039,0.061477341129960714,4.226522922515869,0.9722889065742493
birds_flying,prompt_only,birds_flying_prompt_only,7.5,25,0.012001980189234018,0.003963087996482931,0.33756135900815326,0.050720024995471714,3.772411584854126,0.4867088198661804
corgi_beach,baseline,corgi_beach_baseline,7.5,25,0.020591712246338528,0.0045231975667960975,0.29827332496643066,0.02664860114493737,5.8749518394470215,1.5428900718688965
corgi_beach,recommended,corgi_beach_recommended,5.5,30,0.01348109133541584,0.004350380940140994,0.2872829705476761,0.0363608680926452,4.448333740234375,1.1620781421661377
corgi_beach,cfg_only,corgi_beach_low_cfg_only,5.5,25,0.017823336459696294,0.005251153345220543,0.3350926478703817,0.030176542923343035,7.405211448669434,3.4200737476348877
corgi_beach,steps_only,corgi_beach_more_steps_only,7.5,30,0.020180436285833516,0.004261810014404944,0.2904668629169464,0.023090888508461506,5.654445171356201,2.1173017024993896
corgi_beach,prompt_only,corgi_beach_prompt_only,7.5,25,0.014632798669238885,0.003824974937894047,0.2787923405567805,0.03736695696330949,4.3295369148254395,1.5072251558303833
mig21_missile,baseline,mig21_missile_baseline,7.5,25,0.017922048394878706,0.004443105940159359,0.33447183966636657,0.028290092071216216,9.520398139953613,1.5990761518478394
mig21_missile,recommended,mig21_missile_recommended,6.0,40,0.02010614238679409,0.004155126553907793,0.31044067641099293,0.04609536977684229,10.243000030517578,3.178093194961548
mig21_missile,cfg_only,mig21_missile_low_cfg_only,6.0,25,0.01843012621005376,0.004053247958565255,0.3410216530164083,0.043228793597537306,10.293932914733887,1.8517225980758667
mig21_missile,steps_only,mig21_missile_more_steps_only,7.5,40,0.022120312601327897,0.004049620804875617,0.3508236567179362,0.028745328439290934,11.64199161529541,2.0654406547546387
mig21_missile,prompt_only,mig21_missile_prompt_only,7.5,25,0.016381845436990262,0.004094187221176833,0.26260154843330386,0.03486520943185813,8.181008338928223,3.107389211654663
woman_waving,baseline,woman_waving_baseline,7.5,25,0.02199483774602413,0.007751956671581742,0.2967531939347585,0.09697323131624955,4.408576011657715,1.376939296722412
woman_waving,recommended,woman_waving_recommended,6.5,30,0.009608406014740467,0.00397387551538975,0.16412235746781031,0.05909633560149938,2.3188982009887695,1.4261020421981812
woman_waving,cfg_only,woman_waving_low_cfg_only,6.5,25,0.016848004454125962,0.006437340978518338,0.28071098725001015,0.10174182756652551,4.106181621551514,0.9069399237632751
woman_waving,steps_only,woman_waving_more_steps_only,7.5,30,0.021073565414796273,0.006739734113804393,0.28940279434124627,0.0893645348990822,4.80053186416626,1.4941825866699219
woman_waving,prompt_only,woman_waving_prompt_only,7.5,25,0.008689600415527821,0.0033674363313511983,0.1554233322540919,0.03869132202955621,2.2735321521759033,0.68609619140625
portrait,baseline,portrait_baseline,7.5,25,0.00859029070318987,0.006581327470344953,0.13227935942510763,0.07076648305727773,1.9361634254455566,3.675717830657959
portrait,recommended,portrait_recommended,7.0,35,0.007110491441562772,0.004680047121118204,0.09348210121194521,0.03141615882647141,1.0087099075317383,0.14878441393375397
portrait,cfg_only,portrait_low_cfg_only,7.0,25,0.010070868907496333,0.0073106581053297565,0.1483138548831145,0.07195519294290355,2.4488022327423096,3.861827850341797
portrait,steps_only,portrait_more_steps_only,7.5,35,0.009758062443385522,0.004173671194954191,0.14814475526412327,0.032311614665913764,2.091221332550049,0.5024357438087463
portrait,prompt_only,portrait_prompt_only,7.5,25,0.008150402984271447,0.003905209182979524,0.13581541726986568,0.04241518480507153,2.4015893936157227,0.9807424545288086
landscape,baseline,landscape_baseline,7.5,25,0.008141539199277759,0.004755784112909939,0.10172263979911804,0.031823488908389104,0.38953113555908203,0.0016126837581396103
landscape,recommended,landscape_recommended,7.0,25,0.00783098852261901,0.004347788829624673,0.09396380533774694,0.03786075961389747,0.23547016084194183,0.0014102397253736854
landscape,cfg_only,landscape_low_cfg_only,7.0,25,0.00838468843139708,0.004793697887843118,0.10818667411804199,0.03421394370364065,0.41772526502609253,0.0021391066256910563
landscape,steps_only,landscape_more_steps_only,7.5,25,0.008141539199277759,0.004755784112909939,0.10172263979911804,0.031823488908389104,0.38953113555908203,0.0016126837581396103
landscape,prompt_only,landscape_prompt_only,7.5,25,0.007533051570256551,0.004191637284159585,0.08909770250320434,0.036447053352704165,0.22753947973251343,0.001329639577306807
